102 / 02-31-060-12 W5 / 0|ACCEL HOLDINGS CARSON 2-31-60-12    |02-31-060-12W5M|ABDWHP|54.225676|-115.784095|company|Carson Creek|comment|Alberta
102 / 02-31-060-12 W5 / 2|ACCEL HOLDINGS CARSON 2-31-60-12    |02-31-060-12W5M|ABDWHP|54.225676|-115.784095|company|Carson Creek|comment|Alberta
100 / 13-31-060-12 W5 / 3|ACCEL HOLDINGS CARSON 2-31-60-12    |02-31-060-12W5M|CR-OIL SUSP|54.225676|-115.784095|company|Carson Creek|comment|Alberta
100 / 03-31-060-12 W5 / 0|ACCEL HOLDINGS CARSON 3-31-60-12    |03-31-060-12W5M|ABZONE|54.225904|-115.791028|company|Carson Creek|comment|Alberta
100 / 03-08-061-12 W5 / 0|ACCEL HOLDINGS CARSON 3-8-61-12     |16-07-061-12W5M|CR-OIL PUMP|54.267261|-115.781138|company|Carson Creek|comment|Alberta
100 / 07-09-061-12 W5 / 2|ACCEL HOLDINGS CARSON 4-16-61-12    |04-16-061-12W5M|CR-OIL PUMP|54.269658|-115.747293|company|Carson Creek|comment|Alberta
100 / 04-16-061-12 W5 / 0|ACCEL HOLDINGS CARSON 4-16-61-12    |15-17-061-12W5M|CR-OIL PUMP|54.28322|-115.761428|company|Carson Creek|comment|Alberta
102 / 04-16-061-12 W5 / 0|ACCEL HOLDINGS CARSON 4-16-61-12    |04-16-061-12W5M|ABDWHP|54.269658|-115.747293|company|Carson Creek|comment|Alberta
100 / 04-19-061-12 W5 / 0|ACCEL HOLDINGS CARSON 4-19-61-12    |04-19-061-12W5M|ABDWHP|54.285008|-115.799829|company|Carson Creek|comment|Alberta
100 / 14-24-061-13 W5 / 2|ACCEL HOLDINGS CARSON 4-19-61-12    |04-19-061-12W5M|CR-OIL PUMP|54.285008|-115.799829|company|Carson Creek|comment|Alberta
100 / 07-16-061-12 W5 / 2|ACCEL HOLDINGS CARSON 4-21-61-12    |04-21-061-12W5M|CR-OIL PUMP|54.285068|-115.750381|company|Carson Creek|comment|Alberta
100 / 04-21-061-12 W5 / 0|ACCEL HOLDINGS CARSON 4-21-61-12    |04-21-061-12W5M|ABDWHP|54.285068|-115.750381|company|Carson Creek|comment|Alberta
100 / 04-28-061-12 W5 / 0|ACCEL HOLDINGS CARSON 4-28-61-12    |04-21-061-12W5M|CR-OIL PUMP|54.285292|-115.750381|company|Carson Creek|comment|Alberta
100 / 04-05-061-12 W5 / 0|ACCEL HOLDINGS CARSON 4-5-61-12     |16-06-061-12W5M|CR-OIL PUMP|54.254049|-115.778267|company|Carson Creek|comment|Alberta
100 / 04-07-061-12 W5 / 0|ACCEL HOLDINGS CARSON 4-7-61-12     |16-06-061-12W5M|CR-OIL PUMP|54.253993|-115.778638|company|Carson Creek|comment|Alberta
100 / 16-04-061-12 W5 / 2|ACCEL HOLDINGS CARSON 4-9-61-12     |04-09-061-12W5M|CR-OIL PUMP|54.255266|-115.747125|company|Carson Creek|comment|Alberta
100 / 04-09-061-12 W5 / 0|ACCEL HOLDINGS CARSON 4-9-61-12     |04-09-061-12W5M|ABDWHP|54.255266|-115.747125|company|Carson Creek|comment|Alberta
100 / 05-13-061-12 W5 / 0|ACCEL HOLDINGS CARSON 5-13-61-12    |05-13-061-12W5M|GAS SUSP|54.273077|-115.673088|company|Carson Creek|comment|Alberta
100 / 05-24-061-13 W5 / 0|ACCEL HOLDINGS CARSON 5-24-61-13    |04-19-061-12W5M|CR-OIL PUMP|54.28513|-115.79992|company|Carson Creek|comment|Alberta
100 / 07-17-061-12 W5 / 0|ACCEL HOLDINGS CARSON 7-17-61-12    |07-17-061-12W5M|GAS SUSP|54.274213|-115.757943|company|Carson Creek|comment|Alberta
100 / 07-18-061-12 W5 / 0|ACCEL HOLDINGS CARSON 7-18-61-12    |04-19-061-12W5M|CR-OIL PUMP|54.284846|-115.799694|company|Carson Creek|comment|Alberta
100 / 07-22-061-12 W5 / 0|ACCEL HOLDINGS CARSON 7-22-61-12    |07-22-061-12W5M|GAS STOR|54.289008|-115.710191|company|Carson Creek|comment|Alberta
100 / 07-23-061-12 W5 / 0|ACCEL HOLDINGS CARSON 7-23-61-12    |07-23-061-12W5M|GAS SUSP|54.287995|-115.687224|company|Carson Creek|comment|Alberta
100 / 07-28-061-12 W5 / 0|ACCEL HOLDINGS CARSON 7-28-61-12    |07-28-061-12W5M|GAS SUSP|54.303167|-115.735486|company|Carson Creek|comment|Alberta
100 / 08-14-061-12 W5 / 0|ACCEL HOLDINGS CARSON 8-14-61-12    |08-14-061-12W5M|GAS PUMP|54.275167|-115.679486|company|Carson Creek|comment|Alberta
100 / 08-23-061-12 W5 / 0|ACCEL HOLDINGS CARSON 8-23-61-12    |08-23-061-12W5M|GAS SUSP|54.287123|-115.680372|company|Carson Creek|comment|Alberta
100 / 09-11-061-12 W5 / 0|ACCEL HOLDINGS CARSON 9-11-61-12    |09-11-061-12W5M|GAS FLOW|54.263186|-115.678696|company|Carson Creek|comment|Alberta
100 / 09-18-061-12 W5 / 0|ACCEL HOLDINGS CARSON 9-18-61-12    |11-08-061-12W5M|CR-OIL PUMP|54.26395|-115.768172|company|Carson Creek|comment|Alberta
100 / 01-10-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 1-10-62-12   |01-10-062-12W5M|CR-OIL SUSP|54.34428|-115.704066|company|Carson Creek|comment|Alberta
100 / 01-13-062-13 W5 / 0|ACCEL HOLDINGS CARSONN 1-13-62-13   |01-13-062-13W5M|WATER INJ|54.359112|-115.805434|company|Carson Creek|comment|Alberta
100 / 01-13-062-13 W5 / 2|ACCEL HOLDINGS CARSONN 1-13-62-13   |01-13-062-13W5M|WATER SUSP INJ|54.359112|-115.805434|company|Carson Creek|comment|Alberta
100 / 01-14-062-13 W5 / 0|ACCEL HOLDINGS CARSONN 1-14-62-13   |01-14-062-13W5M|WATER INJ|54.358658|-115.830408|company|Carson Creek|comment|Alberta
100 / 01-14-062-13 W5 / 2|ACCEL HOLDINGS CARSONN 1-14-62-13   |01-14-062-13W5M|WATER SUSP INJ|54.358658|-115.830408|company|Carson Creek|comment|Alberta
100 / 01-18-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 1-18-62-12   |01-18-062-12W5M|CR-OIL SUSP|54.356886|-115.780964|company|Carson Creek|comment|Alberta
100 / 01-31-061-11 W5 / 0|ACCEL HOLDINGS CARSONN 1-31-61-11   |13-32-061-11W5M|CR-OIL SUSP|54.323589|-115.623911|company|Carson Creek|comment|Alberta
100 / 10-01-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 10-1-62-12   |10-01-062-12W5M|CR-OIL PUMP|54.336109|-115.658984|company|Carson Creek|comment|Alberta
100 / 10-11-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 10-11-62-12  |10-11-062-12W5M|CR-OIL PUMP|54.350027|-115.688164|company|Carson Creek|comment|Alberta
100 / 10-03-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 10-3-62-12   |10-03-062-12W5M|CR-OIL PUMP|54.336138|-115.711894|company|Carson Creek|comment|Alberta
100 / 11-18-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 11-18-62-12  |11-18-062-12W5M|WATER INJ|54.366517|-115.792235|company|Carson Creek|comment|Alberta
100 / 11-18-062-12 W5 / 2|ACCEL HOLDINGS CARSONN 11-18-62-12  |11-18-062-12W5M|COMM|54.366517|-115.792235|company|Carson Creek|comment|Alberta
100 / 11-07-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 11-7-62-12   |11-07-062-12W5M|CR-OIL SUSP|54.350561|-115.794903|company|Carson Creek|comment|Alberta
100 / 12-11-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 12-11-62-12  |12-11-062-12W5M|CR-OIL PUMP|54.348941|-115.697541|company|Carson Creek|comment|Alberta
100 / 12-12-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 12-12-62-12  |12-12-062-12W5M|CR-OIL PUMP|54.348819|-115.67608|company|Carson Creek|comment|Alberta
102 / 12-12-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 12-12-62-12  |12-12-062-12W5M|CR-OIL SUSP|54.349722|-115.676065|company|Carson Creek|comment|Alberta
100 / 12-06-062-11 W5 / 0|ACCEL HOLDINGS CARSONN 12-6-62-11   |12-06-062-11W5M|CR-OIL FLOW|54.336991|-115.645316|company|Carson Creek|comment|Alberta
100 / 12-07-062-11 W5 / 0|ACCEL HOLDINGS CARSONN 12-7-62-11   |12-07-062-11W5M|CR-OIL ABZONE|54.349559|-115.649889|company|Carson Creek|comment|Alberta
100 / 13-07-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 13-7-62-12   |13-07-062-12W5M|CR-OIL SUSP|54.353063|-115.79822|company|Carson Creek|comment|Alberta
100 / 14-01-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 14-1-62-12   |14-01-062-12W5M|ABDWHP|54.338668|-115.667383|company|Carson Creek|comment|Alberta
100 / 14-01-062-12 W5 / 2|ACCEL HOLDINGS CARSONN 14-1-62-12   |14-01-062-12W5M|CR-OIL PUMP|54.338668|-115.667383|company|Carson Creek|comment|Alberta
100 / 14-11-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 14-11-62-12  |14-11-062-12W5M|CR-OIL SUSP|54.353212|-115.693579|company|Carson Creek|comment|Alberta
100 / 14-11-062-12 W5 / 2|ACCEL HOLDINGS CARSONN 14-11-62-12  |14-11-062-12W5M|CR-OIL ABZONE|54.353212|-115.693579|company|Carson Creek|comment|Alberta
100 / 14-11-062-13 W5 / 0|ACCEL HOLDINGS CARSONN 14-11-62-13  |14-11-062-13W5M|WATER ABZONE INJ|54.352792|-115.843348|company|Carson Creek|comment|Alberta
100 / 14-12-062-13 W5 / 0|ACCEL HOLDINGS CARSONN 14-12-62-13  |14-12-062-13W5M|CR-OIL ABZONE|54.353554|-115.818016|company|Carson Creek|comment|Alberta
100 / 14-12-062-13 W5 / 2|ACCEL HOLDINGS CARSONN 14-12-62-13  |14-12-062-13W5M|CR-OIL SUSP|54.353554|-115.818016|company|Carson Creek|comment|Alberta
100 / 14-15-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 14-15-62-12  |14-15-062-12W5M|CR-OIL PUMP|54.368435|-115.718275|company|Carson Creek|comment|Alberta
100 / 14-16-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 14-16-62-12  |14-16-062-12W5M|CR-OIL SUSP|54.368011|-115.743765|company|Carson Creek|comment|Alberta
100 / 14-16-062-12 W5 / 2|ACCEL HOLDINGS CARSONN 14-16-62-12  |14-16-062-12W5M|CR-OIL SUSP|54.368011|-115.743765|company|Carson Creek|comment|Alberta
100 / 14-17-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 14-17-62-12  |14-17-062-12W5M|CR-OIL PUMP|54.369163|-115.765677|company|Carson Creek|comment|Alberta
100 / 14-17-062-12 W5 / 2|ACCEL HOLDINGS CARSONN 14-17-62-12  |14-17-062-12W5M||54.369163|-115.765677|company|Carson Creek|comment|Alberta
100 / 14-02-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 14-2-62-12   |14-02-062-12W5M|WATER SUSP INJ|54.339096|-115.693227|company|Carson Creek|comment|Alberta
100 / 14-02-062-12 W5 / 2|ACCEL HOLDINGS CARSONN 14-2-62-12   |14-02-062-12W5M|WATER INJ|54.339096|-115.693227|company|Carson Creek|comment|Alberta
100 / 14-03-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 14-3-62-12   |14-03-062-12W5M|WATER ABZONE INJ|54.338942|-115.71903|company|Carson Creek|comment|Alberta
100 / 14-03-062-12 W5 / 2|ACCEL HOLDINGS CARSONN 14-3-62-12   |14-03-062-12W5M|CR-OIL PUMP|54.338942|-115.71903|company|Carson Creek|comment|Alberta
100 / 14-30-061-11 W5 / 0|ACCEL HOLDINGS CARSONN 14-30-61-11  |06-31-061-11W5M|ABZONE|54.317742|-115.641563|company|Carson Creek|comment|Alberta
100 / 14-05-062-11 W5 / 0|ACCEL HOLDINGS CARSONN 14-5-62-11   |14-05-062-11W5M|ABZONE|54.338272|-115.618618|company|Carson Creek|comment|Alberta
100 / 14-05-062-11 W5 / 2|ACCEL HOLDINGS CARSONN 14-5-62-11   |14-05-062-11W5M|GAS ABZONE|54.338272|-115.618618|company|Carson Creek|comment|Alberta
100 / 15-03-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 15-3-62-12   |15-03-062-12W5M|CR-OIL PUMP|54.339134|-115.713337|company|Carson Creek|comment|Alberta
